233346,124455,113556,133455,123456,133446,0,0,4,1
222555,233355,114456,234444,134445,133455,2,1,1,1
222555,233355,,234444,133455,,0,0,5,4
123456,114456,122556,133455,124455,113466,1,1,4,4
123456,122556,,133455,113466,,1,1,1,6
333345,233346,122466,233355,124455,233445,1,0,3,3
333345,122466,,124455,233445,,0,1,3,3
122466,,,124455,,,0,0,4,1
223446,222456,123456,133455,134445,233355,1,0,5,3
114456,222555,333444,112566,223356,223446,2,1,4,2
233355,112566,113466,114456,233346,333336,0,1,2,3
112566,222366,233355,111666,122466,222555,0,0,2,1
333345,233445,124446,233355,223446,234444,2,2,1,3
133455,133446,124455,224445,333444,113466,0,1,4,3
113466,133446,233445,111666,233346,223356,2,2,4,3
111666,114555,222366,124446,113466,222456,0,2,6,4
133455,222555,233346,223446,144444,333444,2,0,4,4
133455,222555,,144444,333444,,0,1,1,4
114555,222555,224445,134445,233346,124446,2,1,4,6
223455,222555,114456,134445,123555,222366,2,2,1,6
133446,112566,113466,233346,223455,234444,2,0,1,6
233445,134445,123555,333345,111666,223446,1,1,4,1
112566,113556,133455,233355,144444,114456,1,1,5,4
223356,234444,233355,233346,134445,333336,0,2,2,6
223356,114555,122556,144444,233346,222555,1,1,1,4
122556,222366,223356,113466,222555,133356,2,0,3,3
122556,222366,,222555,133356,,1,0,2,2
122556,,,133356,,,0,0,2,6
122556,222456,223446,123456,144444,333345,1,0,2,3
233355,222366,122556,113556,134445,233346,2,2,1,6
233445,333336,333345,223356,222456,113556,0,2,2,3
333345,144444,112566,123456,134445,114456,1,1,4,5
122466,233355,223356,114555,133446,233346,0,2,6,3
114555,123366,133446,224445,111666,144444,1,0,1,4
133455,222366,223446,123456,333345,233445,2,2,2,4
233346,133356,134445,233445,122556,114456,1,2,3,6
112566,223356,222555,333336,133446,123555,0,0,1,3
122466,111666,144444,124455,233355,122556,2,2,4,5
333444,223356,144444,113466,112566,124446,2,1,1,6
222555,223446,122466,233346,222456,122556,0,0,2,3
144444,222555,124455,123366,122556,333444,1,2,2,3
133356,234444,233445,111666,123555,333345,2,1,3,5
223455,133446,123366,123555,222456,114555,1,2,3,5
233445,223455,133446,224445,124455,113466,0,2,4,6
224445,134445,113466,333345,144444,124446,2,0,1,4
113556,223446,233355,333444,123555,122556,0,2,5,5
223446,233355,,333444,123555,,0,1,4,5
124455,114456,133455,122556,223455,112566,2,0,3,6
113466,133356,133446,113556,133455,123456,1,1,3,5
114555,333345,233346,222366,144444,333444,1,1,4,4
114555,233346,,222366,333444,,0,0,5,6
123366,113466,123555,233355,134445,234444,0,0,6,3
124455,114555,133446,222456,223455,233355,0,1,5,2
122466,222456,113556,114456,333345,133446,0,2,6,4
223455,224445,123555,333345,222456,234444,1,1,2,4
123456,123555,134445,122556,144444,224445,2,1,3,1
233355,123456,333336,333444,113556,111666,2,0,3,4
223455,114456,233445,222456,133455,122556,2,1,4,5
133446,223446,223455,233346,123555,122466,1,2,3,4
333444,333336,123456,114456,133455,111666,1,0,3,4
222366,134445,122556,124446,133446,223446,2,2,2,4
234444,223446,124455,133446,114456,123366,2,2,5,3
123456,111666,333444,113466,123366,112566,0,1,5,3
233445,124455,223356,114555,113556,333444,2,1,5,5
233445,124455,,114555,333444,,1,1,4,3
134445,114456,123456,113556,133455,123555,0,2,4,3
333345,123555,124455,233445,223356,222456,0,0,3,3
123555,124455,,223356,222456,,1,1,4,5
333345,233355,134445,233346,222555,123456,2,2,1,6
124446,234444,222555,114555,223455,123555,0,1,1,3
222555,233346,233355,112566,123555,333345,0,1,5,5
